time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,VWAP,Upper Band #1,Lower Band #1,RTH VWAP,VWAP +1 SD,VWAP -1 SD,POC,VAH,VAL,RTH Open,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3
1758569400,26064,26066.5,26056.5,26058,25972.592447168874,26029.026881813734,25916.158012524014,25972.592447168874,25989.52277756233,25955.662116775417,25973.39728504855,26029.450384492306,25917.344185604798,,,,0,,,,,,,,,,,,,,
1758569700,26058.25,26058.5,26040.25,26044.5,25973.64379335854,26030.41058454246,25916.87700217462,25973.64379335854,25990.673830713717,25956.613756003364,25974.402271908846,26030.73339440656,25918.07114941113,,,,0,,,,,,,,,,,,,,
1758570000,26044,26051.5,26036.75,26040,25974.445766050165,26031.369128149054,25917.522403951276,25974.445766050165,25991.52277467983,25957.3687574205,25975.191871918927,26031.67089743224,25918.712846405615,,,,0,,,,,,,,,,,,,,
1758570300,26040,26051.25,26037.75,26051,25975.18277225894,26032.260589171965,25918.104955345916,25975.18277225894,25992.306117332846,25958.059427185035,25975.938494262486,26032.589762714793,25919.287225810178,,,,0,,,,,,,,,,,,,,
1758570600,26050.75,26062,26037.5,26046.75,25976.710478043875,26034.16915423605,25919.2518018517,25976.710478043875,25993.948080901526,25959.472875186224,25977.44029960768,26034.451380364222,25920.429218851135,,,,0,,,,,,,,,,,,,,
1758570900,26046.5,26062,26042,26045.5,25978.710230094675,26036.595736756528,25920.824723432823,25978.710230094675,25996.07588209323,25961.34457809612,25979.44291511459,26036.899994075644,25921.985836153533,,,,0,,,,,,,,,,,,,,
1758571200,26045.5,26048.25,26031.75,26044.75,25979.756349406773,26037.735122428494,25921.77757638505,25979.756349406773,25997.14998131329,25962.362717500255,,,,25961,26031,25861,0,,,,,,,,,,,,,,
1758571500,26044.5,26045,26031,26032,25980.09344769948,26038.07349997649,25922.11339542247,25980.09344769948,25997.487463382582,25962.69943201638,,,,25961,26031,25861,0,,,,,,,,,,,,,,
1758571800,26032,26036.25,26027.25,26034,25980.39542214068,26038.343382498515,25922.447461782842,25980.39542214068,25997.77981024803,25963.011034033327,,,,25961,26031,25861,0,,,,,,,,,,,,,,
1758634200,26048,26056.75,26033,26039,26044.1875,26044.1875,26044.1875,26044.1875,26044.1875,26044.1875,26042.916666666668,26042.916666666668,26042.916666666668,25961,26031,25861,1,,,,,,,,,,,,,,
1758634500,26038.5,26042.75,26016.25,26026.25,26037.55256407214,26044.177556631676,26030.927571512602,26037.55256407214,26039.54006184,26035.565066304276,26035.655793387123,26042.90578523156,26028.405801542685,25961,26031,25861,0,,,,,,,,,,,,,,
1758634800,26026.75,26032,25989.75,26001.5,26028.5916473088,26041.721288293655,26015.462006323945,26028.5916473088,26032.530539604257,26024.652755013343,26025.674320391507,26040.257624078255,26011.09101670476,25961,26031,25861,0,,,,,,,,,,,,,,
1758635100,26000.25,26018.5,25993.25,26001.5,26023.465806584023,26038.968328451352,26007.963284716694,26023.465806584023,26028.11656314422,26018.815050023826,26021.353232586232,26036.92971165446,26005.776753518006,25961,26031,25861,0,,,,,,,,,,,,,,
1758635400,26001.5,26018.5,25992,25995.5,26019.93726735019,26036.209491639667,26003.66504306071,26019.93726735019,26024.818934637035,26015.055600063344,26018.190375273967,26034.13347991133,26002.247270636606,25961,26031,25861,0,,,,,,,,,,,,,,
1758635700,25995.25,26000.25,25979.5,25987.25,26015.62972059619,26033.903612243383,25997.355828948996,26015.62972059619,26021.11188809035,26010.14755310203,26013.909867967803,26031.89697045181,25995.922765483796,25961,26031,25861,0,,,,,,,,,,,,,,
1758636000,25987.5,25999.5,25976.5,25988,26011.745837832033,26031.237300807414,25992.254374856653,26011.745837832033,26017.59327672465,26005.89839893942,26010.284146380265,26029.23296359747,25991.33532916306,25961,26031,25861,0,,,,,,,,,,,,,,
1758636300,25988.25,26007.5,25987.25,25999.75,26010.006687096415,26029.076940211442,25990.936433981387,26010.006687096415,26015.72776303092,26004.285611161908,26008.97179861562,26027.257068271225,25990.686528960017,25961,26031,25861,0,,,,,,,,,,,,,,
1758636600,25999.25,26009,25983.5,26005,26008.982212723797,26027.40156277121,25990.562862676383,26008.982212723797,26014.508017738022,26003.45640770957,26008.04334564477,26025.67663205327,25990.410059236274,25961,26031,25861,0,,,,,,,,,,,,,,
1758636900,26004.75,26008,25993,26005.25,26008.61407383452,26026.541435947056,25990.686711721984,26008.61407383452,26013.99228246828,26003.23586520076,26007.69128572486,26024.85345985799,25990.52911159173,25961,26031,25861,0,,,,,,,,,,,,,,
1758637200,26004.75,26010.25,25981,25983.25,26007.676587766644,26025.329333963884,25990.023841569404,26007.676587766644,26012.972411625815,26002.380763907473,26006.591476024165,26023.654038142136,25989.528913906193,25961,26031,25861,0,,,,,,,,,,,,,,
1758637500,25983,26012.25,25979.5,26000.25,26006.69063029769,26024.077887365045,25989.303373230334,26006.69063029769,26011.906807417898,26001.47445317748,26005.936029400225,26022.554046639834,25989.318012160616,25961,26031,25861,0,,,,,,,,,,,,,,
1758637800,26000.25,26008.25,25995.5,25999,26006.459475711403,26023.54376965193,25989.375181770876,26006.459475711403,26011.58476389356,26001.334187529246,26005.740722057744,26022.061111961768,25989.42033215372,25961,26031,25861,0,,,,,,,,,,,,,,
1758638100,25999,26009.25,25993.5,26002.5,26006.253326607417,26023.040061323925,25989.46659189091,26006.253326607417,26011.289347022368,26001.217306192466,26005.588287838946,26021.612213873137,25989.564361804754,25961,26031,25861,0,,,,,,,,,,,,,,
1758638400,26002.25,26022,25993.75,25999.25,26006.116456880012,26022.308085627028,25989.924828132996,26006.116456880012,26010.973945504116,26001.25896825591,26005.546800981825,26020.996117773575,25990.097484190075,25961,26031,25861,0,,,,,,,,,,,,,,
1758638700,25999.5,26001.75,25985,25992.75,26005.643356466822,26021.656175352982,25989.630537580662,26005.643356466822,26010.44720213267,26000.839510800975,26005.031508774086,26020.356675414463,25989.706342133708,25961,26031,25861,0,,,,,,,,,,,,,,
1758639000,25993,26004.75,25987.75,26003.5,26005.380808734917,26021.208773528117,25989.552843941718,26005.380808734917,26010.129198172875,26000.63241929696,26004.832413827287,26019.956624842194,25989.70820281238,25961,26031,25861,0,,,,,,,,,,,,,,
1758639300,26003.5,26010.75,25989,25991.75,26005.166305903465,26020.780288854934,25989.552322951997,26005.166305903465,26009.850500788907,26000.482111018024,26004.584431335727,26019.523694064777,25989.645168606676,25961,26031,25861,0,,,,,,,,,,,,,,
1758639600,25991.25,25996,25980.25,25990.25,26004.54831611363,26020.15459539175,25988.94203683551,26004.54831611363,26009.230199897065,25999.866432330193,26003.965565682225,26018.92476067843,25989.00637068602,25961,26031,25861,0,,,,,,,,,,,,,,
1758639900,25990.5,25995.5,25977.75,25994.25,26004.121516428786,26019.706402964333,25988.53662989324,26004.121516428786,26008.79698238945,25999.446050468123,26003.545839954237,26018.494621025362,25988.59705888311,25961,26031,25861,0,,,,,,,,,,,,,,
1758640200,25994.5,26014,25993.25,26008.75,26004.07100728215,26019.39301605941,25988.74899850489,26004.07100728215,26008.667609915326,25999.474404648972,26003.606169906823,26018.30406157292,25988.908278240728,25961,26031,25861,0,,,,,,,,,,,,,,
1758640500,26009,26014,25996,26011.75,26004.177980733795,26019.28411249066,25989.07184897693,26004.177980733795,26008.709820260854,25999.646141206737,26003.713951979866,26018.20599037482,25989.22191358491,25961,26031,25861,0,,,,,,,,,,,,,,
1758640800,26011.75,26017,26005.5,26015.75,26004.335028963906,26019.340732735393,25989.32932519242,26004.335028963906,26008.83674009535,25999.83331783246,26003.884474938703,26018.29168127887,25989.477268598534,25961,26031,25861,0,,,,,,,,,,,,,,
1758641100,26015.75,26016.5,25999.75,26005.75,26004.44302663606,26019.307232600066,25989.578820672057,26004.44302663606,26008.902288425263,25999.98376484686,26003.95747264424,26018.220035492493,25989.694909795988,25961,26031,25861,0,,,,,,,,,,,,,,
1758641400,26005.75,26010,25998.25,26002.25,26004.43616801178,26019.165895399045,25989.706440624515,26004.43616801178,26008.85508622796,26000.0172497956,26003.949227142642,26018.08280212291,25989.815652162375,25961,26031,25861,0,,,,,,,,,,,,,,
1758641700,26001.75,26007.75,25990,25990.5,26004.30125367737,26018.918445793337,25989.684061561406,26004.30125367737,26008.686411312163,25999.91609604258,26003.79622885511,26017.833769269953,25989.758688440266,25961,26031,25861,0,,,,,,,,,,,,,,
1758642000,25990.5,25997.75,25976.75,25996.5,26003.796919856246,26018.3809431925,25989.21289651999,26003.796919856246,26008.172126857124,25999.42171285537,26003.308675368065,26017.317334603144,25989.300016132987,25961,26031,25861,0,,,,,,,,,,,,,,
1758642300,25996.75,26009.75,25994,26000,26003.725526448095,26018.17597178932,25989.275081106873,26003.725526448095,26008.06066005046,25999.39039284573,26003.26864839129,26017.14336553376,25989.393931248822,25961,26031,25861,0,,,,,,,,,,,,,,
1758642600,26000.5,26003.75,25991.25,25995.25,26003.638281572883,26018.00203188708,25989.274531258685,26003.638281572883,26007.947406667143,25999.329156478623,26003.17445889571,26016.97051999762,25989.378397793804,25961,26031,25861,0,,,,,,,,,,,,,,
1758642900,25995.5,25997,25987.25,25993,26003.507847697314,26017.828757071577,25989.18693832305,26003.507847697314,26007.804120509594,25999.211574885034,26003.040193288565,26016.801813603215,25989.278572973915,25961,26031,25861,0,,,,,,,,,,,,,,
1758643200,25992.75,25999.75,25985.25,25987,26003.326507919228,26017.618851691594,25989.034164146862,26003.326507919228,26007.61421105094,25999.038804787517,26002.85807078465,26016.599069973505,25989.117071595792,25961,26031,25861,0,,,,,,,,,,,,,,
