date,dow,setup,side,lots,entry,stop,target,exit,pnl,net,exit_why,fill_hm,exit_hm
2026-01-30,4,T1-Z1,-1,4,26621.5,26658.6875,26591.75,26658.6875,-297.5,-304.46,stop,1035,1035
2026-01-30,4,T2R,1,10,26562.0,26547.125,26628.9375,26628.9375,1338.75,1326.35,target,1120,1130
2026-02-02,0,T1-Z1,1,1,26620.5,26508.9,26713.5,26713.5,186.0,184.76,target,1055,1200
2026-02-03,1,T1-Z1,-1,1,26367.95,26488.5125,26271.5,26271.5,192.90000000000146,191.66000000000145,target,1045,1150
2026-02-04,2,T1-Z3a,1,2,26049.5,25978.6875,26187.75,25978.6875,-283.25,-287.73,stop,1025,1030
2026-02-05,3,T1-Z1,-1,1,25434.1,25536.725,25352.0,25352.0,164.1999999999971,162.95999999999708,target,1035,1110
2026-02-10,1,T1-Z1,1,2,26199.3125,26140.5875,26248.25,26140.5875,-234.89999999999418,-238.37999999999417,stop,1030,1120
2026-02-11,2,T1-Z1,-1,1,25940.75,26042.625,25859.25,26042.625,-203.75,-205.49,stop,1035,1050
2026-02-13,4,T1-Z1,1,1,25599.0,25511.4,25672.0,25672.0,146.0,144.76,target,1040,1105
2026-02-17,1,T1-Z1,-1,1,25333.35,25421.9125,25262.5,25262.5,141.6999999999971,140.45999999999708,target,1030,1035
2026-02-23,0,T1-Z1,-1,2,25680.85,25730.975,25640.75,25640.75,160.39999999999418,157.9199999999942,target,1030,1035
2026-02-25,2,T1-Z1,1,2,26111.1875,26049.9125,26162.25,26162.25,204.25,201.77,target,1030,1400
2026-02-26,3,T1-Z1,-1,1,25777.65,25891.9,25686.25,25891.9,-228.5,-230.24,stop,1035,1445
2026-03-04,2,T1-Z1,1,1,25861.125,25762.575,25943.25,25943.25,164.25,163.01,target,1045,1100
2026-03-06,4,T2R,-1,6,25673.4,25695.1,25575.75,25575.75,1171.8000000000175,1164.3600000000174,target,1035,1050
2026-03-10,1,T1-Z3a,1,2,25804.75,25740.875,25882.25,25882.25,310.0,306.52,target,1025,1035
2026-03-11,2,T1-Z1,-1,2,25829.0,25870.5625,25780.0,25780.0,196.0,193.52,target,1030,1035
2026-03-11,2,T2X,-1,7,25880.625,25900.75,25729.6875,25729.6875,2113.125,2104.445,target,1055,1130
2026-03-12,3,T1-Z1,-1,2,25461.6,25516.1,25418.0,25516.1,-218.0,-221.48,stop,1045,1045
2026-03-12,3,T2R,1,6,25374.4,25352.6,25472.5,25461.6,1046.399999999965,1038.959999999965,reversed,1035,1045
2026-03-13,4,T1-Z3a,-1,1,25475.5,25557.75,25412.25,25412.25,126.5,124.76,target,1025,1040
2026-03-17,1,T2X,-1,3,25596.825,25641.9,25514.1875,25641.9,-270.45000000000437,-275.6700000000044,stop,1145,1405
2026-03-18,2,T1-Z1,-1,3,25436.3,25483.2375,25398.75,25483.2375,-281.625,-286.845,stop,1030,1100
2026-03-19,3,T1-Z3a,-1,2,25015.0,25078.0625,24911.75,25078.0625,-252.25,-256.73,stop,1025,1030
2026-03-20,4,T1-Z1,-1,2,24878.3,24940.8625,24828.25,24828.25,200.1999999999971,197.7199999999971,target,1030,1050
2026-03-24,1,T2R,-1,4,24959.175,24995.625,24858.9375,24858.9375,801.8999999999942,796.9399999999941,target,1125,1205
2026-03-24,1,T2X,1,2,24831.5,24795.15,24977.4,24959.175,510.6999999999971,508.21999999999707,reversed,1100,1125
2026-03-25,2,T2X,-1,7,25014.75,25034.5,24866.625,25034.5,-276.5,-288.68,stop,1125,1230
2026-03-26,3,T2R,1,8,24618.45,24600.925,24697.3125,24600.925,-280.4000000000233,-294.3200000000233,stop,1215,1225
2026-03-27,4,T1-Z1,-1,2,24075.55,24130.6125,24031.5,24031.5,176.1999999999971,173.7199999999971,target,1030,1045
2026-03-30,0,T1-Z1,-1,2,23929.5,23990.75,23880.5,23880.5,196.0,193.52,target,1030,1035
2026-03-31,1,T2R,-1,3,24229.175,24269.625,24117.9375,24269.625,-242.70000000000437,-247.92000000000436,stop,1235,1240
